PS,PD_15,PD_30,PD_45,PD_60,PD_75,PD_90,PD_105,PD_120,PD_135,PD_150,PD_150plus,fairness,satisfaction,SC_15,SC_30,SC_45,SC_60,SC_75,SC_90,SC_105,SC_120,SC_135,SC_150,SC_150plus,redist1,redist2,redist3,redist4,Household_Income,Political_Preference,age,gender,Population_Inequality_Gini_Index,Population_Mean_Income,Social_Circle_Inequality_Gini_Index,Social_Circle_Mean_Income
232,7,20,22,17,11,8,7,3,2,2,1,1,1,5,12,13,28,27,15,0,0,0,0,0,5,5,1,4,40000,3,26,1,35.45590682,54090,23.19074334,53475
240,9,23,42,12,3,2,2,3,2,1,1,3,3,0,7,18,72,3,0,0,0,0,0,0,4,4,2,3,40000,5,28,1,34.1054823,43230,10.77570093,48150
244,16,23,17,12,11,5,5,3,3,3,2,3,3,10,43,47,0,0,0,0,0,0,0,0,4,5,1,5,40000,2,32,2,42.25247237,51570,18.42631579,28500
248,15,9,15,14,10,5,9,11,3,2,7,8,8,15,9,22,22,9,8,13,2,0,0,0,6,6,1,3,40000,1,52,2,41.0845987,69150,33.09370425,51225
280,14,20,20,15,8,6,5,3,3,2,4,2,2,7,25,30,22,10,0,0,2,1,1,2,4,4,1,3,40000,2,28,1,42.29324547,54630,33.37646272,44865
296,2,8,22,17,5,12,12,8,8,4,2,1,1,1,23,53,10,13,0,0,0,0,0,0,4,6,1,6,40000,4,31,2,32.02507193,72990,20.35170302,39195
89,8,16,40,21,6,3,2,1,1,1,1,4,4,8,4,22,35,20,11,0,0,0,0,0,4,3,2,6,42000,3,28,1,30.50016728,44835,22.36780259,51060
234,23,27,15,9,6,5,4,2,2,2,5,7,5,20,30,50,0,0,0,0,0,0,0,0,1,1,5,6,42000,9,34,1,48.00863132,48660,21.46236559,27900
303,19,18,17,15,12,10,4,2,1,1,1,5,5,7,29,54,7,3,0,0,0,0,0,0,5,5,5,4,43000, ,47,2,38.76241358,47730,19.78793336,33315
55,20,20,30,10,10,3,3,1,1,1,1,3,3,3,2,2,2,2,3,5,9,14,24,34,6,6,1,3,44000,5,28,2,38.25589837,41325,21.50498981,139785
