"Participant","Trial","Condition","Time","DesiredResponse","ActualResponse","Angle","CorrectResponse"
"sub33",87,"3_4_3_3_180Y150.pct",3366,"Same","Same",150,"Correct"
"sub33",88,"R3_4_4_3_180Y100.pct",2793,"Different","Different",100,"Correct"
"sub33",89,"R2_3_3_2_0Y100.pct",1597,"Different","Different",100,"Correct"
"sub33",90,"2_3_3_2_0Y50.pct",1328,"Same","Same",50,"Correct"
"sub33",91,"2_4_4_2_0Y0.pct",828,"Same","Same",0,"Correct"
"sub33",92,"3_4_3_2_90Y150.pct",2095,"Same","Same",150,"Correct"
"sub33",93,"R2_4_4_3_90Y150.pct",2125,"Different","Different",150,"Correct"
"sub33",94,"R3_4_3_2_90Y50.pct",1226,"Different","Different",50,"Correct"
"sub33",95,"2_3_3_2_0Y100.pct",2783,"Same","Same",100,"Correct"
"sub33",96,"R3_3_3_2_0Y0.pct",1017,"Different","Different",0,"Correct"
"sub34",1,"R2_3_3_2_0Y0.pct",3855,"Different","Different",0,"Correct"
"sub34",2,"R3_4_3_2_90Y150.pct",6735,"Different","Same",150,"Incorrect"
"sub34",3,"2_4_4_2_0Y150.pct",6563,"Same","Same",150,"Correct"
"sub34",4,"3_3_3_2_0Y100.pct",NA,"Same","[N/A]",100,"Incorrect"
"sub34",5,"3_3_3_3_90Y50.pct",4259,"Same","Same",50,"Correct"
"sub34",6,"R2_4_4_2_0Y50.pct",4506,"Different","Different",50,"Correct"
"sub34",7,"R3_3_3_3_90Y100.pct",5170,"Different","Different",100,"Correct"
"sub34",8,"2_3_3_2_0Y0.pct",1661,"Same","Same",0,"Correct"
"sub34",9,"R3_4_3_3_180Y150.pct",3550,"Different","Different",150,"Correct"
"sub34",10,"2_4_4_2_180Y150.pct",3355,"Same","Same",150,"Correct"
"sub34",11,"R3_3_4_2_0Y50.pct",7113,"Different","Different",50,"Correct"
"sub34",12,"R2_3_4_2_90Y0.pct",1817,"Different","Different",0,"Correct"
"sub34",13,"3_3_3_3_180Y0.pct",1960,"Same","Same",0,"Correct"
"sub34",14,"R3_4_3_3_180Y100.pct",2663,"Different","Different",100,"Correct"
"sub34",15,"2_4_4_3_90Y100.pct",3598,"Same","Same",100,"Correct"
"sub34",16,"3_4_3_2_90Y50.pct",2498,"Same","Same",50,"Correct"
"sub34",17,"R2_4_4_3_90Y100.pct",5498,"Different","Different",100,"Correct"
"sub34",18,"2_3_3_2_0Y150.pct",3745,"Same","Same",150,"Correct"
"sub34",19,"R2_3_4_2_90Y50.pct",3911,"Different","Different",50,"Correct"
"sub34",20,"2_3_4_2_90Y50.pct",2917,"Same","Same",50,"Correct"
"sub34",21,"R2_4_4_2_180Y100.pct",2970,"Different","Different",100,"Correct"
"sub34",22,"R2_4_4_2_0Y0.pct",2599,"Different","Different",0,"Correct"
"sub34",23,"3_4_3_2_90Y0.pct",2896,"Same","Same",0,"Correct"
"sub34",24,"R3_3_3_2_0Y150.pct",6058,"Different","Different",150,"Correct"
"sub34",25,"R3_4_4_3_180Y150.pct",2106,"Different","Different",150,"Correct"
"sub34",26,"R3_4_3_3_180Y50.pct",2303,"Different","Different",50,"Correct"
"sub34",27,"3_4_3_3_180Y50.pct",3463,"Same","Same",50,"Correct"
"sub34",28,"3_3_3_3_90Y100.pct",5825,"Same","Same",100,"Correct"
"sub34",29,"2_4_4_2_180Y0.pct",1489,"Same","Same",0,"Correct"
"sub34",30,"R3_4_3_2_90Y0.pct",1271,"Different","Different",0,"Correct"
"sub34",31,"3_3_4_2_0Y150.pct",7249,"Same","Same",150,"Correct"
"sub34",32,"R3_3_4_2_0Y100.pct",6091,"Different","Different",100,"Correct"
"sub34",33,"3_3_3_3_180Y50.pct",4416,"Same","Same",50,"Correct"
"sub34",34,"3_3_4_2_0Y100.pct",4685,"Same","Different",100,"Incorrect"
"sub34",35,"3_4_4_3_180Y150.pct",6293,"Same","Same",150,"Correct"
"sub34",36,"R3_3_3_3_180Y0.pct",2548,"Different","Different",0,"Correct"
"sub34",37,"3_4_3_3_180Y100.pct",3225,"Same","Same",100,"Correct"
"sub34",38,"R3_3_3_3_180Y150.pct",1858,"Different","Different",150,"Correct"
"sub34",39,"3_4_3_3_180Y0.pct",1995,"Same","Same",0,"Correct"
"sub34",40,"R3_3_3_3_90Y50.pct",1278,"Different","Different",50,"Correct"
"sub34",41,"2_4_4_3_90Y150.pct",3580,"Same","Same",150,"Correct"
"sub34",42,"R3_4_3_3_180Y0.pct",1881,"Different","Different",0,"Correct"
"sub34",43,"3_3_3_3_180Y100.pct",3753,"Same","Same",100,"Correct"
"sub34",44,"R2_3_4_2_90Y150.pct",5375,"Different","Different",150,"Correct"
"sub34",45,"R2_3_3_2_0Y50.pct",3020,"Different","Different",50,"Correct"
"sub34",46,"R2_3_4_2_90Y100.pct",4565,"Different","Different",100,"Correct"
"sub34",47,"3_4_4_3_180Y0.pct",1442,"Same","Same",0,"Correct"
"sub34",48,"3_4_4_3_180Y50.pct",2699,"Same","Same",50,"Correct"
"sub34",49,"R2_4_4_2_0Y100.pct",2492,"Different","Different",100,"Correct"
"sub34",50,"R2_3_3_2_0Y150.pct",3164,"Different","Same",150,"Incorrect"
"sub34",51,"3_3_4_2_0Y0.pct",1832,"Same","Same",0,"Correct"
"sub34",52,"R2_4_4_3_90Y0.pct",1608,"Different","Different",0,"Correct"
"sub34",53,"3_4_4_3_180Y100.pct",2564,"Same","Same",100,"Correct"
"sub34",54,"R2_4_4_2_180Y50.pct",1911,"Different","Different",50,"Correct"
"sub34",55,"3_3_3_2_0Y150.pct",4023,"Same","Different",150,"Incorrect"
"sub34",56,"2_4_4_2_0Y50.pct",1415,"Same","Same",50,"Correct"
"sub34",57,"R2_4_4_2_0Y150.pct",1843,"Different","Different",150,"Correct"
"sub34",58,"R3_4_3_2_90Y100.pct",3666,"Different","Different",100,"Correct"
"sub34",59,"2_3_4_2_90Y150.pct",3124,"Same","Same",150,"Correct"
"sub34",60,"3_4_3_2_90Y100.pct",3312,"Same","Same",100,"Correct"
"sub34",61,"2_4_4_3_90Y0.pct",1686,"Same","Same",0,"Correct"
"sub34",62,"R2_4_4_2_180Y0.pct",1285,"Different","Different",0,"Correct"
"sub34",63,"R2_4_4_3_90Y50.pct",2053,"Different","Different",50,"Correct"
"sub34",64,"2_4_4_3_90Y50.pct",2134,"Same","Same",50,"Correct"
"sub34",65,"R2_4_4_2_180Y150.pct",2909,"Different","Different",150,"Correct"
"sub34",66,"3_3_3_3_90Y0.pct",1812,"Same","Same",0,"Correct"
"sub34",67,"3_3_3_3_180Y150.pct",3700,"Same","Same",150,"Correct"
"sub34",68,"R3_3_3_3_90Y0.pct",1181,"Different","Different",0,"Correct"
"sub34",69,"R3_3_3_2_0Y50.pct",2373,"Different","Different",50,"Correct"
"sub34",70,"2_4_4_2_180Y50.pct",1722,"Same","Same",50,"Correct"
"sub34",71,"2_4_4_2_0Y100.pct",1513,"Same","Same",100,"Correct"
"sub34",72,"R3_3_3_2_0Y100.pct",4528,"Different","Different",100,"Correct"
"sub34",73,"2_3_4_2_90Y100.pct",1575,"Same","Same",100,"Correct"
"sub34",74,"R3_3_3_3_180Y100.pct",3658,"Different","Different",100,"Correct"
"sub34",75,"3_3_3_3_90Y150.pct",2139,"Same","Same",150,"Correct"
"sub34",76,"R3_3_4_2_0Y0.pct",5103,"Different","Different",0,"Correct"
"sub34",77,"3_3_3_2_0Y0.pct",1887,"Same","Same",0,"Correct"
"sub34",78,"3_3_3_2_0Y50.pct",2679,"Same","Same",50,"Correct"
"sub34",79,"R3_3_3_3_180Y50.pct",1884,"Different","Different",50,"Correct"
"sub34",80,"R3_3_3_3_90Y150.pct",4413,"Different","Different",150,"Correct"
"sub34",81,"R3_4_4_3_180Y50.pct",3975,"Different","Different",50,"Correct"
"sub34",82,"2_3_4_2_90Y0.pct",987,"Same","Same",0,"Correct"
"sub34",83,"R3_3_4_2_0Y150.pct",2753,"Different","Different",150,"Correct"
"sub34",84,"3_3_4_2_0Y50.pct",4100,"Same","Same",50,"Correct"
"sub34",85,"2_4_4_2_180Y100.pct",1955,"Same","Same",100,"Correct"
"sub34",86,"R3_4_4_3_180Y0.pct",3154,"Different","Same",0,"Incorrect"
"sub34",87,"3_4_3_3_180Y150.pct",4062,"Same","Same",150,"Correct"
